Symbol,Market Cap,Country,Industry,Sector
CRWD,1.28497E+11,United States,software-infrastructure,technology
DE,1.28436E+11,United States,farm-heavy-construction-machinery,industrials
UBS,1.28065E+11,Switzerland,banks-diversified,financial-services
BBVA,1.24717E+11,Spain,banks-diversified,financial-services
BTI,1.242E+11,United Kingdom,tobacco,consumer-defensive
SMFG,1.21328E+11,Japan,banks-diversified,financial-services
SNY,1.20899E+11,France,drug-manufacturers-general,healthcare
KKR,1.19833E+11,United States,asset-management,financial-services
RIO,1.1934E+11,United Kingdom,other-industrial-metals-mining,basic-materials
BUD,1.19181E+11,Belgium,beverages-brewers,consumer-defensive
PLD,1.18876E+11,United States,reit-industrial,real-estate
HOOD,1.18648E+11,United States,capital-markets,financial-services
CB,1.17614E+11,Switzerland,insurance-property-casualty,financial-services
COP,1.17013E+11,United States,oil-gas-e-p,energy
VRTX,1.16781E+11,United States,biotechnology,healthcare
SPOT,1.16316E+11,Luxembourg,internet-content-information,communication-services
SCCO,1.15009E+11,United States,copper,basic-materials
HCA,1.13885E+11,United States,medical-care-facilities,healthcare
CEG,1.1241E+11,United States,utilities-independent-power-producers,utilities
PH,1.11359E+11,United States,specialty-industrial-machinery,industrials
IBN,1.0986E+11,India,banks-regional,financial-services
IBKR,1.09646E+11,United States,capital-markets,financial-services
BMY,1.06165E+11,United States,drug-manufacturers-general,healthcare
ADP,1.05984E+11,United States,software-application,technology
LMT,1.05573E+11,United States,aerospace-defense,industrials
ENB,1.0498E+11,Canada,oil-gas-midstream,energy
BN,1.04969E+11,Canada,asset-management,financial-services
MELI,1.04762E+11,Uruguay,internet-retail,consumer-cyclical
CMCSA,1.00834E+11,United States,telecom-services,communication-services
MCK,1.0058E+11,United States,medical-distribution,healthcare
NEM,98596847616,United States,gold,basic-materials
GSK,97718542336,United Kingdom,drug-manufacturers-general,healthcare
CME,97675657216,United States,financial-data-stock-exchanges,financial-services
MO,97416880128,United States,tobacco,consumer-defensive
NKE,97354342400,United States,footwear-accessories,consumer-cyclical
DASH,96974667776,United States,internet-retail,consumer-cyclical
SBUX,96789954560,United States,restaurants,consumer-cyclical
CVS,96007176192,United States,healthcare-plans,healthcare
SO,95003328512,United States,utilities-regulated-electric,utilities
DELL,93399351296,United States,computer-hardware,technology
BMO,93182435328,Canada,banks-diversified,financial-services
CDNS,91973541888,United States,software-application,technology
BP,91451105280,United Kingdom,oil-gas-integrated,energy
MFG,91125841920,Japan,banks-regional,financial-services
GD,91114323968,United States,aerospace-defense,industrials
DUK,90613088256,United States,utilities-regulated-electric,utilities
ICE,90339819520,United States,financial-data-stock-exchanges,financial-services
NTES,89908166656,China,electronic-gaming-multimedia,communication-services
MMC,89387081728,United States,insurance-brokers,financial-services
BNS,89342861312,Canada,banks-diversified,financial-services
TT,89324339200,Ireland,building-products-equipment,industrials
MMM,89204817920,United States,conglomerates,industrials
MCO,89051561984,United States,financial-data-stock-exchanges,financial-services
SNPS,88950636544,United States,software-infrastructure,technology
CVNA,86671507456,United States,auto-truck-dealerships,consumer-cyclical
WM,86044344320,United States,waste-management,industrials
BAM,85982781440,United States,asset-management,financial-services
MRVL,85270315008,United States,semiconductors,technology
CM,84987068416,Canada,banks-diversified,financial-services
AEM,84760518656,Canada,gold,basic-materials
AMT,83751411712,United States,reit-specialty,real-estate
ORLY,83664134144,United States,auto-parts,consumer-cyclical
SHW,83055419392,United States,specialty-chemicals,basic-materials
NU,80921116672,Brazil,banks-regional,financial-services
ITUB,80828022784,Brazil,banks-regional,financial-services
BCS,80590520320,United Kingdom,banks-diversified,financial-services
UPS,80486342656,United States,integrated-freight-logistics,industrials
BK,80411557888,United States,banks-diversified,financial-services
APO,80173776896,United States,asset-management,financial-services
CRH,79997788160,Ireland,building-materials,basic-materials
USB,79770271744,United States,banks-regional,financial-services
MAR,79425847296,United States,lodging,consumer-cyclical
SE,79324749824,Singapore,internet-retail,consumer-cyclical
NOC,78603157504,United States,aerospace-defense,industrials
PBR,78170161152,Brazil,oil-gas-integrated,energy
PNC,77746511872,United States,banks-regional,financial-services
SNOW,77514047488,United States,software-application,technology
EMR,77323091968,United States,specialty-industrial-machinery,industrials
HWM,76869451776,United States,aerospace-defense,industrials
WMB,76704751616,United States,oil-gas-midstream,energy
ING,76276932608,Netherlands,banks-diversified,financial-services
REGN,76137136128,United States,biotechnology,healthcare
ABNB,76113133568,United States,travel-services,consumer-cyclical
INFY,75928961024,India,information-technology-services,technology
TDG,75895939072,United States,aerospace-defense,industrials
LYG,75388878848,United Kingdom,banks-regional,financial-services
CTAS,75251007488,United States,specialty-business-services,industrials
NGG,74830028800,United Kingdom,utilities-regulated-electric,utilities
JCI,74750451712,Ireland,building-products-equipment,industrials
ELV,74477723648,United States,healthcare-plans,healthcare
AON,74434306048,Ireland,insurance-brokers,financial-services
GLW,73707274240,United States,electronic-components,technology
ECL,73654550528,United States,specialty-chemicals,basic-materials
RELX,73324773376,United Kingdom,specialty-business-services,industrials
EQIX,72812838912,United States,reit-specialty,real-estate
ITW,72787550208,United States,specialty-industrial-machinery,industrials
COIN,72731025408,United States,financial-data-stock-exchanges,financial-services
GM,72405524480,United States,auto-manufacturers,consumer-cyclical
VRT,72269586432,United States,electrical-equipment-parts,industrials
CNQ,72250531840,Canada,oil-gas-e-p,energy
MNST,72045543424,United States,beverages-non-alcoholic,consumer-defensive
MDLZ,71044071424,United States,confectioners,consumer-defensive
CI,70905880576,United States,healthcare-plans,healthcare
EPD,70608723968,United States,oil-gas-midstream,energy
CMI,70488211456,United States,specialty-industrial-machinery,industrials
NET,70388998144,United States,software-infrastructure,technology
RCL,70267224064,United States,travel-services,consumer-cyclical
B,70171107328,Canada,gold,basic-materials
RACE,70097616896,Italy,auto-manufacturers,consumer-cyclical
DB,69842296832,Germany,banks-regional,financial-services
TEL,69032648704,Ireland,electronic-components,technology
SPG,68862910464,United States,reit-retail,real-estate
PWR,68688744448,United States,engineering-construction,industrials
CSX,67673251840,United States,railroads,industrials
RSG,67604086784,United States,waste-management,industrials
RBLX,67581386752,United States,electronic-gaming-multimedia,communication-services
CP,67477864448,Canada,railroads,industrials
FTNT,66603843584,United States,software-infrastructure,technology
NWG,66034786304,United Kingdom,banks-regional,financial-services
NSC,66012303360,United States,railroads,industrials
COR,65891811328,United States,medical-distribution,healthcare
PSNYW,65344839680,Sweden,auto-manufacturers,consumer-cyclical
ADSK,65335619584,United States,software-application,technology
FCX,64904065024,United States,copper,basic-materials
AMX,64883605504,Mexico,telecom-services,communication-services
FDX,64720224256,United States,integrated-freight-logistics,industrials
WBD,64625573888,United States,entertainment,communication-services
HLT,64031502336,United States,lodging,consumer-cyclical
AZO,63704629248,United States,auto-parts,consumer-cyclical
TRV,63237849088,United States,insurance-property-casualty,financial-services
CL,63097798656,United States,household-personal-products,consumer-defensive
AEP,62915121152,United States,utilities-regulated-electric,utilities
MSI,62374830080,United States,communication-equipment,technology
KMI,61781594112,United States,oil-gas-midstream,energy
AJG,61558726656,United States,insurance-brokers,financial-services
CNI,61492076544,Canada,railroads,industrials
TFC,61286850560,United States,banks-regional,financial-services
EOG,61244080128,United States,oil-gas-e-p,energy
STX,60740550656,Singapore,computer-hardware,technology
ALNY,60523978752,United States,biotechnology,healthcare
TRI,60309929984,Canada,specialty-business-services,industrials
PYPL,59500965888,United States,credit-services,financial-services
MFC,59438215168,Canada,insurance-life,financial-services
SRE,59172110336,United States,utilities-diversified,utilities
WDAY,58729320448,United States,software-application,technology
AFL,58446385152,United States,insurance-life,financial-services
ROST,58176032768,United States,apparel-retail,consumer-cyclical
APD,58027048960,United States,specialty-chemicals,basic-materials
PCAR,57945796608,United States,farm-heavy-construction-machinery,industrials
MPC,57924993024,United States,oil-gas-refining-marketing,energy
WDC,57894735872,United States,computer-hardware,technology
EQNR,57709674496,Norway,oil-gas-integrated,energy
ET,57680896000,United States,oil-gas-midstream,energy
DLR,57606828032,United States,reit-specialty,real-estate
NXPI,57469521920,Netherlands,semiconductors,technology
SLB,57456300032,United States,oil-gas-equipment-services,energy
IDXX,57131352064,United States,diagnostics-research,healthcare
MPLX,56925024256,United States,oil-gas-midstream,energy
TRP,56901005312,Canada,oil-gas-midstream,energy
VST,56641458176,United States,utilities-independent-power-producers,utilities
PSX,56318754816,United States,oil-gas-refining-marketing,energy
ARGX,56121487360,Netherlands,biotechnology,healthcare
BDX,55594262528,United States,medical-instruments-supplies,healthcare
E,55364775936,Italy,oil-gas-integrated,energy
VALE,55198658560,Brazil,other-industrial-metals-mining,basic-materials
ARES,54208770048,United States,asset-management,financial-services
VLO,54096896000,United States,oil-gas-refining-marketing,energy
SU,53866004480,Canada,oil-gas-integrated,energy
O,53796089856,United States,reit-retail,real-estate
RKT,53586386944,United States,mortgage-finance,financial-services
ALL,53299224576,United States,insurance-property-casualty,financial-services
DDOG,53095059456,United States,software-application,technology
ZTS,52583723008,United States,drug-manufacturers-specialty-generic,healthcare
MET,52310949888,United States,insurance-life,financial-services
LHX,52105900032,United States,aerospace-defense,industrials
F,51918016512,United States,auto-manufacturers,consumer-cyclical
NDAQ,51767808000,United States,financial-data-stock-exchanges,financial-services
MSTR,51433443328,United States,software-application,technology
URI,51274162176,United States,rental-leasing-services,industrials
EA,51001643008,United States,electronic-gaming-multimedia,communication-services
EW,50602151936,United States,medical-devices,healthcare
D,49945391104,United States,utilities-regulated-electric,utilities
FERG,49870041088,United States,industrial-distribution,industrials
CPNG,49520414720,United States,internet-retail,consumer-cyclical
DEO,49170767872,United Kingdom,beverages-wineries-distilleries,consumer-defensive
WPM,49139798016,Canada,gold,basic-materials
BKR,48549277696,United States,oil-gas-equipment-services,energy
ROP,48174206976,United States,software-application,technology
OKE,48075567104,United States,oil-gas-midstream,energy
CBRE,47870808064,United States,real-estate-services,real-estate
PSA,47736467456,United States,reit-industrial,real-estate
FAST,47643480064,United States,industrial-distribution,industrials
FER,47296167936,Netherlands,engineering-construction,industrials
DHI,47288352768,United States,residential-construction,consumer-cyclical
CAH,47241023488,United States,medical-distribution,healthcare
TAK,47187509248,Japan,drug-manufacturers-specialty-generic,healthcare
IMO,46999482368,Canada,oil-gas-integrated,energy
TCOM,46896046080,Singapore,travel-services,consumer-cyclical
GWW,46662266880,United States,industrial-distribution,industrials
CARR,46202032128,United States,building-products-equipment,industrials
AME,46144602112,United States,specialty-industrial-machinery,industrials
MPWR,46126682112,United States,semiconductors,technology
FANG,45912498176,United States,oil-gas-e-p,energy
TTWO,45802979328,United States,electronic-gaming-multimedia,communication-services
XEL,45655040000,United States,utilities-regulated-electric,utilities
BSBR,45573459968,Brazil,banks-regional,financial-services
CMG,45509636096,United States,restaurants,consumer-cyclical
LVS,45477552128,United States,resorts-casinos,consumer-cyclical
ROK,45456105472,United States,specialty-industrial-machinery,industrials
LNG,45204099072,United States,oil-gas-midstream,energy
AMP,44973195264,United States,asset-management,financial-services
CTVA,44820602880,United States,agricultural-inputs,basic-materials
WCN,44508975104,Canada,waste-management,industrials
RDDT,44362854400,United States,internet-content-information,communication-services
EXC,44247543808,United States,utilities-regulated-electric,utilities
JD,44114640896,China,internet-retail,consumer-cyclical
CRWV,44001435648,United States,software-infrastructure,technology
DAL,43813797888,United States,airlines,industrials
BIDU,43805782016,China,internet-content-information,communication-services
INSM,43507789824,United States,biotechnology,healthcare
AXON,43475722240,United States,aerospace-defense,industrials
HEI,43460263936,United States,aerospace-defense,industrials
FICO,43171295232,United States,software-application,technology
AIG,42674913280,United States,insurance-diversified,financial-services
HLN,42392186880,United Kingdom,drug-manufacturers-specialty-generic,healthcare
ETR,42078359552,United States,utilities-regulated-electric,utilities
TEAM,41940652032,Australia,software-application,technology
TGT,41891057664,United States,discount-stores,consumer-defensive
OXY,41802477568,United States,oil-gas-e-p,energy
MSCI,41642610688,United States,financial-data-stock-exchanges,financial-services
AU,41628037120,United States,gold,basic-materials
KR,41556549632,United States,grocery-stores,consumer-defensive
A,41246478336,United States,diagnostics-research,healthcare
CCEP,40800542720,United Kingdom,beverages-non-alcoholic,consumer-defensive
PAYX,40329736192,United States,software-application,technology
YUM,40248557568,United States,restaurants,consumer-cyclical
CCJ,39853228032,Canada,uranium,energy
ALC,39806783488,Switzerland,medical-instruments-supplies,healthcare
VEEV,39780409344,United States,health-information-services,healthcare
PEG,39717683200,United States,utilities-regulated-electric,utilities
CTSH,39423320064,United States,information-technology-services,technology
FNV,39320088576,Canada,gold,basic-materials
PRU,39304986624,United States,insurance-life,financial-services
ABEV,39191949312,Brazil,beverages-brewers,consumer-defensive
GRMN,39189843968,Switzerland,scientific-technical-instruments,technology
GEHC,39017791488,United States,health-information-services,healthcare
KDP,38977753088,United States,beverages-non-alcoholic,consumer-defensive
VMC,38961438720,United States,building-materials,basic-materials
TRGP,38893776896,United States,oil-gas-midstream,energy
CCI,38879563776,United States,reit-specialty,real-estate
ZS,38700470272,United States,software-infrastructure,technology
IQV,38462255104,United States,diagnostics-research,healthcare
HMC,38185918464,Japan,auto-manufacturers,consumer-cyclical
GFI,37988052992,South Africa,gold,basic-materials
EL,37884674048,United States,household-personal-products,consumer-defensive
EQT,37868384256,United States,oil-gas-e-p,energy
VTR,37865164800,United States,reit-healthcare-facilities,real-estate
EBAY,37688791040,United States,internet-retail,consumer-cyclical
MLM,37653970944,United States,building-materials,basic-materials
CPRT,37481644032,United States,specialty-business-services,industrials
RMD,37447651328,United States,medical-instruments-supplies,healthcare
CLS,37397254144,Canada,electronic-components,technology
XYZ,37251678208,United States,software-infrastructure,technology
HSY,36967727104,United States,confectioners,consumer-defensive
PUK,36799078400,Hong Kong,insurance-life,financial-services
WAB,36747247616,United States,railroads,industrials
FLUT,36525264896,United States,gambling,consumer-cyclical
NUE,36491513856,United States,steel,basic-materials
HIG,36392042496,United States,insurance-property-casualty,financial-services
KEYS,36174024704,United States,scientific-technical-instruments,technology
ONC,35731447808,Switzerland,biotechnology,healthcare
MCHP,35566804992,United States,semiconductors,technology
SYM,35389706240,United States,specialty-industrial-machinery,industrials
FIX,35333668864,United States,engineering-construction,industrials
CCL,35076669440,United States,travel-services,consumer-cyclical
STT,35067580416,United States,asset-management,financial-services
BBD,35009908736,Brazil,banks-regional,financial-services
SYY,35004743680,United States,food-distribution,consumer-defensive
UI,34963959808,United States,communication-equipment,technology
ED,34866380800,United States,utilities-regulated-electric,utilities
FIS,34821758976,United States,information-technology-services,technology
STLA,34809122816,Netherlands,auto-manufacturers,consumer-cyclical
FMX,34771410944,Mexico,beverages-brewers,consumer-defensive
RYAAY,34743562240,Ireland,airlines,industrials
CVE,34540032000,Canada,oil-gas-integrated,energy
WEC,34386853888,United States,utilities-regulated-electric,utilities
ACGL,34231764992,Bermuda,insurance-diversified,financial-services
KMB,34168143872,United States,household-personal-products,consumer-defensive
UAL,33976299520,United States,airlines,industrials
OTIS,33929482240,United States,specialty-industrial-machinery,industrials
XYL,33844631552,United States,specialty-industrial-machinery,industrials
BBDO,33817833472,Brazil,banks-regional,financial-services
NTRA,33751437312,United States,diagnostics-research,healthcare
NOK,33661093888,Finland,communication-equipment,technology
QSR,33611536384,United States,restaurants,consumer-cyclical
SOFI,33499990016,United States,credit-services,financial-services
SNDK,33483005952,United States,computer-hardware,technology
KGC,33350445056,Canada,gold,basic-materials
MDB,33339693056,United States,software-infrastructure,technology
PCG,33320323072,United States,utilities-regulated-electric,utilities
ASX,33182144512,Taiwan,semiconductors,technology
SLF,32728799232,Canada,insurance-diversified,financial-services
TEVA,32651661312,Israel,drug-manufacturers-specialty-generic,healthcare
ODFL,32607586304,United States,trucking,industrials
EXPE,32590395392,United States,travel-services,consumer-cyclical
CHT,32573956096,Taiwan,telecom-services,communication-services
RJF,32525508608,United States,asset-management,financial-services
KVUE,32489854976,United States,household-personal-products,consumer-defensive
LYV,32353714176,United States,entertainment,communication-services
KB,32187535360,South Korea,banks-regional,financial-services
MT,32142954496,Luxembourg,steel,basic-materials
TER,31937193984,United States,semiconductor-equipment-materials,technology
CRDO,31798405120,Cayman Islands,semiconductors,technology
IR,31740557312,United States,specialty-industrial-machinery,industrials
ERIC,31666223104,Sweden,communication-equipment,technology
NRG,31529220096,United States,utilities-independent-power-producers,utilities
WDS,31520239616,Australia,oil-gas-e-p,energy
CUK,31365519360,United States,travel-services,consumer-cyclical
TME,31292461056,China,internet-content-information,communication-services
WTW,31283642368,United Kingdom,insurance-brokers,financial-services
HUM,31012411392,United States,healthcare-plans,healthcare
VRSK,30910541824,United States,consulting-services,industrials
IX,30908278784,Japan,financial-conglomerates,financial-services
HPE,30782771200,United States,communication-equipment,technology
WIT,30726928384,India,information-technology-services,technology
LEN,30602170368,United States,residential-construction,consumer-cyclical
MTB,30489702400,United States,banks-regional,financial-services
FOXA,30365683712,United States,entertainment,communication-services
AMRZ,30275713024,Switzerland,building-materials,basic-materials
FITB,30024652800,United States,banks-regional,financial-services
SYF,29898543104,United States,credit-services,financial-services
VIK,29757380608,Bermuda,travel-services,consumer-cyclical
LPLA,29694758912,United States,capital-markets,financial-services
VOD,29679988736,United Kingdom,telecom-services,communication-services
VICI,29638139904,United States,reit-diversified,real-estate
ROL,29542645760,United States,personal-services,consumer-cyclical
NTR,29387970560,Canada,agricultural-inputs,basic-materials
EXE,29261529088,United States,oil-gas-e-p,energy
MTD,29144758272,United States,diagnostics-research,healthcare
DG,29135433728,United States,discount-stores,consumer-defensive
K,28927119360,United States,packaged-foods,consumer-defensive
CSGP,28824188928,United States,real-estate-services,real-estate
KHC,28810176512,United States,packaged-foods,consumer-defensive
EXR,28710684672,United States,reit-industrial,real-estate
FOX,28673871872,United States,entertainment,communication-services
TSCO,28576067584,United States,specialty-retail,consumer-cyclical
COHR,28568954880,United States,scientific-technical-instruments,technology
CIEN,28515182592,United States,communication-equipment,technology
ADM,28358418432,United States,farm-products,consumer-defensive
BE,28187351040,United States,electrical-equipment-parts,industrials
CHTR,28014813184,United States,telecom-services,communication-services
EME,27916888064,United States,engineering-construction,industrials
ATO,27696451584,United States,utilities-regulated-gas,utilities
FSLR,27643650048,United States,solar,technology
DTE,27254239232,United States,utilities-regulated-electric,utilities
ALAB,27232329728,United States,semiconductors,technology
ASTS,27158304768,United States,communication-equipment,technology
BR,27083128832,United States,information-technology-services,technology
ULTA,27034783744,United States,specialty-retail,consumer-cyclical
CQP,27019816960,United States,oil-gas-midstream,energy
AEE,27011622912,United States,utilities-regulated-electric,utilities
BRO,26757148672,United States,insurance-brokers,financial-services
HBAN,26614173696,United States,banks-regional,financial-services
BIIB,26597122048,United States,drug-manufacturers-general,healthcare
SHG,26533083136,South Korea,banks-regional,financial-services
CBOE,26449946624,United States,financial-data-stock-exchanges,financial-services
ZM,26232715264,United States,software-application,technology
DOV,26208608256,United States,specialty-industrial-machinery,industrials
RKLB,26203037696,United States,aerospace-defense,industrials
AXIA,26148433920,Brazil,utilities-renewable,utilities
EFX,26057476096,United States,consulting-services,industrials
FE,25942960128,United States,utilities-regulated-electric,utilities
IOT,25939759104,United States,software-infrastructure,technology
STE,25930606592,United States,medical-devices,healthcare
MKL,25909653504,United States,insurance-property-casualty,financial-services
FTS,25825939456,Canada,utilities-regulated-electric,utilities
PHG,25723981824,Netherlands,medical-devices,healthcare
DXCM,25682247680,United States,medical-devices,healthcare
NTRS,25397899264,United States,asset-management,financial-services
OWL,25386584064,United States,asset-management,financial-services
CINF,25379893248,United States,insurance-property-casualty,financial-services
VLTO,25366056960,United States,pollution-treatment-controls,industrials
WRB,25355014144,United States,insurance-property-casualty,financial-services
AVB,25347026944,United States,reit-residential,real-estate
AWK,25268502528,United States,utilities-regulated-water,utilities
FCNCA,25246969856,United States,banks-regional,financial-services
CNP,25089728512,United States,utilities-regulated-electric,utilities
PHM,25054818304,United States,residential-construction,consumer-cyclical
PPL,25047570432,United States,utilities-regulated-electric,utilities
ES,25040123904,United States,utilities-regulated-electric,utilities
DLTR,24973821952,United States,discount-stores,consumer-defensive
AER,24961585152,Ireland,rental-leasing-services,industrials
IRM,24921149440,United States,reit-specialty,real-estate
STZ,24781875200,United States,beverages-brewers,consumer-defensive
NBIS,24687179776,Netherlands,internet-content-information,communication-services
GIS,24558120960,United States,packaged-foods,consumer-defensive
TDY,24522500096,United States,scientific-technical-instruments,technology
HPQ,24336560128,United States,computer-hardware,technology
STLD,24321142784,United States,steel,basic-materials
HAL,24256530432,United States,oil-gas-equipment-services,energy
CYBR,24163317760,Israel,software-infrastructure,technology
TPR,24074741760,United States,luxury-goods,consumer-cyclical
EQR,24030889984,United States,reit-residential,real-estate
LDOS,23968509952,United States,information-technology-services,technology
CFG,23922614272,United States,banks-regional,financial-services
FUTU,23849672704,Hong Kong,capital-markets,financial-services
DVN,23785957376,United States,oil-gas-e-p,energy
TEF,23690967040,Spain,telecom-services,communication-services
TPG,23647950848,United States,asset-management,financial-services
JBL,23616583680,United States,electronic-components,technology
SATS,23605858304,United States,telecom-services,communication-services
TW,23545982976,United States,capital-markets,financial-services
WAT,23504910336,United States,diagnostics-research,healthcare
LITE,23501142016,United States,communication-equipment,technology
RF,23449864192,United States,banks-regional,financial-services
TROW,23417251840,United States,asset-management,financial-services
HUBB,23411857408,United States,electrical-equipment-parts,industrials
NTAP,23409246208,United States,software-infrastructure,technology
FLEX,23338625024,United States,electronic-components,technology
VRSN,23309178880,United States,software-infrastructure,technology
OMC,23305392128,United States,advertising-agencies,communication-services
RPRX,23169513472,United States,biotechnology,healthcare
PSTG,23145873408,United States,computer-hardware,technology
